member_a,member_b,metric
A000069,A000360,1.8333333333333335
A000069,A000109,0.5098039215686274
A000069,B001261,0.5
A000069,B000243,2.8823529411764706
A000069,B001233,1.843137254901961
A000069,B000382,1.72
A000069,B000444,1.9428571428571428
A000069,B000468,3.94
A000069,B000611,1.7551020408163265
A000069,B000711,3.9555555555555557
A000069,B000944,3.980392156862745
A000069,B000953,0.6046511627906976
A000069,B001066,1.5918367346938775
A000069,B001135,0.64
A000069,B001210,1.9166666666666665
A000069,C000127,3.9019607843137254
A000069,C000141,2.9215686274509802
A000069,C000174,1.843137254901961
A000069,C001070,0.8823529411764706
A000069,C000286,1.6800000000000002
A000069,C001041,3.9
A000069,C000560,0.34
A000069,C000567,2.7199999999999998
A000069,C001057,1.8
A000069,C001035,2.784313725490196
A000069,C000705,0.8431372549019608
A000069,C001071,1.6600000000000001
A000069,C001056,1.62
A000069,C000858,1.6458333333333335
A000069,C000880,0.64
A000069,D000595,0.25
A000069,D000388,3.942857142857143
A000069,D000601,0.7083333333333334
A000069,D000407,2.76
A000069,D000432,2.9375
A000069,D000563,3.9215686274509802
A000069,E000194,1.5306122448979593
A000069,E000285,1.56
A000069,F000061,1.8627450980392157
A000069,F000062,3.8823529411764706
A000069,G000359,0.5714285714285714
A000069,G000386,0.7843137254901961
A000069,G000445,0.5434782608695652
A000069,H001028,1.6122448979591837
A000069,H000206,2.9791666666666665
A000069,H000338,2.76
A000069,H001016,1.7647058823529411
A000069,I000024,0.4375
A000069,I000025,3.8541666666666665
A000069,I000055,1.693877551020408
A000069,J000177,3.8125
A000069,K000105,3.951219512195122
A000069,K000148,3.9375
A000069,K000367,2.9411764705882355
A000069,K000305,2.8823529411764706
A000069,K000352,0.5
A000069,L000550,1.816326530612245
A000069,L000123,2.9
A000069,L000174,2.980392156862745
A000069,L000261,3.9019607843137254
A000069,L000304,2.82
A000069,L000035,2.836734693877551
A000069,L000447,1.6896551724137931
A000069,L000504,1.7916666666666665
A000069,M001162,1.6862745098039216
A000069,M000303,0.5333333333333333
A000069,M001170,2.8823529411764706
A000069,M000355,1.6862745098039216
A000069,M000639,2.92
A000069,M000702,2.86
A000069,M001153,2.8
A000069,M001111,3.9183673469387754
A000069,N000032,2.816326530612245
A000069,N000180,2.86
A000069,O000167,3.8095238095238093
A000069,P000590,1.843137254901961
A000069,R000122,1.9411764705882353
A000069,R000146,3.9411764705882355
A000069,R000307,1.72
A000069,R000361,1.88
A000069,S001163,3.8823529411764706
A000069,S000033,1.88
A000069,S000148,3.92
A000069,S001141,0.6530612244897959
A000069,S000320,0.72
A000069,S001142,3.843137254901961
A000069,S000663,2.8235294117647056
A000069,S000709,1.8399999999999999
A000069,S000770,3.9019607843137254
A000069,S000888,3.84
A000069,S001078,0.6862745098039216
A000069,T000464,1.9215686274509802
A000069,T000162,1.6153846153846154
A000069,T000250,0.68
A000069,V000127,1.48
A000069,V000126,1.6530612244897958
A000069,W000154,1.7608695652173914
A000069,W000803,1.88
A000069,W000802,1.8823529411764706
A000069,W000437,0.631578947368421
A000069,W000779,0.8979591836734694
A000360,A000109,0.6666666666666666
A000360,B001261,0.6285714285714286
A000360,B000243,0.8958333333333334
A000360,B001233,1.9166666666666665
A000360,B000382,1.872340425531915
A000360,B000444,1.8181818181818183
A000360,B000468,1.8297872340425532
A000360,B000611,1.8695652173913042
A000360,B000711,1.7954545454545454
A000360,B000944,1.8333333333333335
A000360,B000953,0.775
A000360,B001066,1.7291666666666665
A000360,B001135,0.7872340425531915
A000360,B001210,1.7555555555555555
A000360,C000127,1.8333333333333335
A000360,C000141,1.8541666666666665
A000360,C000174,1.875
A000360,C001070,0.875
A000360,C000286,1.8297872340425532
A000360,C001041,1.7857142857142856
A000360,C000560,0.48936170212765956
A000360,C000567,1.872340425531915
A000360,C001057,1.9361702127659575
A000360,C001035,1.9166666666666665
A000360,C000705,0.875
A000360,C001071,1.8085106382978724
A000360,C001056,1.7872340425531914
A000360,C000858,1.8222222222222222
A000360,C000880,0.8085106382978723
A000360,D000595,0.4222222222222222
A000360,D000388,1.8125
A000360,D000601,0.8444444444444444
A000360,D000407,1.9361702127659575
A000360,D000432,0.7872340425531915
A000360,D000563,1.8541666666666665
A000360,E000194,1.6739130434782608
A000360,E000285,1.702127659574468
A000360,F000061,0.7083333333333334
A000360,F000062,1.875
A000360,G000359,0.717391304347826
A000360,G000386,0.9583333333333334
A000360,G000445,0.7111111111111111
A000360,H001028,1.7446808510638299
A000360,H000206,1.8297872340425532
