member_a,member_b,votes_same,bills_same,mutual_sponsorships
A000014,A000022,63,64,6
A000014,A000055,18,62,1
A000014,A000364,57,64,3
A000014,A000358,14,64,1
A000014,A000361,21,65,0
A000014,A000362,54,66,1
A000014,A000210,64,65,5
A000014,A000363,59,66,5
A000014,A000365,24,66,0
A000014,B001234,63,63,6
A000014,B001256,16,62,0
A000014,B000013,18,63,0
A000014,B001229,58,63,5
A000014,B001230,60,64,6
A000014,B001239,8,47,0
A000014,B001252,60,65,6
A000014,B000208,23,66,0
A000014,B000213,18,63,0
A000014,B001253,57,66,0
A000014,B000287,62,64,3
A000014,B001231,62,65,5
A000014,B000410,63,64,8
A000014,B000420,53,61,4
A000014,B001232,31,66,2
A000014,B000461,26,65,1
A000014,B001257,26,65,1
A000014,B001242,64,65,5
A000014,B000490,60,61,6
A000014,B001250,14,63,2
A000014,B001243,12,66,1
A000014,B000574,62,64,9
A000014,B000575,15,61,0
A000014,B001263,59,66,3
A000014,B000589,12,62,0
A000014,B001244,17,63,0
A000014,B001228,31,65,3
A000014,B001236,19,66,0
A000014,B001245,0,0,11
A000014,B001254,50,66,0
A000014,B000652,61,63,4
A000014,B000657,57,61,4
A000014,B001255,17,62,1
A000014,B000716,52,60,2
A000014,B001227,62,63,6
A000014,B000755,13,64,1
A000014,B001259,62,64,7
A000014,B001264,34,64,0
A000014,B001262,6,64,0
A000014,B001235,17,61,2
A000014,B000911,64,65,5
A000014,B001247,31,63,1
A000014,B001260,32,66,2
A000014,B001248,17,64,0
A000014,B001149,18,66,1
A000014,B001251,61,62,4
A000014,B001203,22,64,0
A000014,C000059,25,66,1
A000014,C000071,25,65,1
A000014,C001064,10,63,0
A000014,C001046,18,66,0
A000014,C001079,42,63,2
A000014,C001047,33,65,1
A000014,C001036,63,64,10
A000014,C001037,56,58,7
A000014,C001050,59,65,3
A000014,C001060,64,65,7
A000014,C001065,54,64,1
A000014,C001072,65,66,6
A000014,C001051,15,61,1
A000014,C001075,23,65,1
A000014,C000243,40,66,3
A000014,C001066,62,63,10
A000014,C001076,12,66,0
A000014,C001058,59,63,1
A000014,C001074,50,66,0
A000014,C000380,0,0,8
A000014,C001080,29,29,1
A000014,C001067,64,66,7
A000014,C001049,63,65,5
A000014,C001061,61,62,6
A000014,C000537,65,66,4
A000014,C000556,16,64,1
A000014,C001077,19,65,0
A000014,C001068,63,66,6
A000014,C001053,24,66,1
A000014,C001062,12,64,1
A000014,C001078,64,66,9
A000014,C000714,57,61,6
A000014,C000754,61,66,4
A000014,C001059,59,66,2
A000014,C000794,58,64,3
A000014,C001069,61,64,6
A000014,C001045,23,63,0
A000014,C001081,0,0,0
A000014,C001038,63,64,3
A000014,C001063,61,66,3
A000014,C001048,13,62,1
A000014,C000984,65,66,8
A000014,D000608,58,65,6
A000014,D000602,54,61,4
A000014,D000599,52,65,1
A000014,D000096,63,64,6
A000014,D000603,18,65,1
A000014,D000598,64,65,6
A000014,D000168,13,57,0
A000014,D000191,60,63,6
A000014,D000197,65,66,7
A000014,D000210,59,60,7
A000014,D000216,64,65,4
