member_a,member_b,votes_same,bills_same,mutual_sponsorships
A000014,A000022,133,141,9
A000014,A000055,56,142,1
A000014,A000358,33,143,2
A000014,A000361,58,138,2
A000014,A000357,136,142,11
A000014,A000362,136,146,8
A000014,A000210,128,134,12
A000014,A000363,139,145,12
A000014,B001234,136,143,8
A000014,B001256,34,145,0
A000014,B000013,51,137,3
A000014,B001229,133,144,11
A000014,B000072,33,96,0
A000014,B001230,137,146,10
A000014,B001239,28,140,0
A000014,B001252,124,146,8
A000014,B000208,54,145,1
A000014,B000213,43,143,0
A000014,B001253,123,142,5
A000014,B000287,135,143,8
A000014,B001231,129,140,11
A000014,B000410,126,133,10
A000014,B000420,129,144,6
A000014,B001232,71,144,3
A000014,B000461,50,141,3
A000014,B001257,66,144,0
A000014,B001250,47,137,0
A000014,B001242,135,144,10
A000014,B000490,133,143,8
A000014,B001243,31,139,0
A000014,B000574,132,145,10
A000014,B000575,36,142,1
A000014,B000589,30,134,0
A000014,B001244,47,138,2
A000014,B001228,80,139,3
A000014,B001236,60,145,0
A000014,B001245,0,0,9
A000014,B001254,108,138,4
A000014,B000652,131,142,10
A000014,B000657,131,138,6
A000014,B001255,59,144,0
A000014,B000716,125,139,5
A000014,B001258,130,145,4
A000014,B000755,38,138,1
A000014,B001227,125,131,10
A000014,B001259,132,140,12
A000014,B001262,10,86,0
A000014,B000911,128,136,12
A000014,B001235,54,141,1
A000014,B001247,63,133,3
A000014,B001260,80,144,1
A000014,B001248,44,140,0
A000014,B001149,37,142,0
A000014,B001251,133,142,8
A000014,B001203,44,125,0
A000014,C000059,49,134,1
A000014,C000071,55,142,0
A000014,C001064,20,137,0
A000014,C000116,34,134,0
A000014,C001046,32,134,0
A000014,C001047,99,145,3
A000014,C001036,138,146,11
A000014,C001037,136,146,11
A000014,C001050,126,138,8
A000014,C001060,139,144,11
A000014,C001065,130,143,6
A000014,C000191,70,73,9
A000014,C001072,34,36,4
A000014,C001051,38,138,0
A000014,C000243,99,146,3
A000014,C001066,134,142,8
A000014,C001073,25,28,0
A000014,C000266,57,145,1
A000014,C001058,137,146,10
A000014,C001074,25,28,0
A000014,C000380,0,0,8
A000014,C001067,122,132,11
A000014,C001049,134,140,8
A000014,C001061,136,142,14
A000014,C000537,136,143,8
A000014,C000556,40,139,2
A000014,C001068,137,144,10
A000014,C001053,58,143,2
A000014,C001062,36,145,0
A000014,C000714,128,136,11
A000014,C000754,121,140,6
A000014,C001059,131,142,7
A000014,C000794,134,144,8
A000014,C001069,139,146,10
A000014,C000868,127,140,6
A000014,C001045,52,135,0
A000014,C001038,135,145,9
A000014,C000962,17,77,2
A000014,C001063,132,146,7
A000014,C001048,30,141,0
A000014,C000984,137,143,12
A000014,D000598,136,143,10
A000014,D000597,8,14,1
A000014,D000136,75,139,3
