member_a,member_b,votes_same,bills_same,mutual_sponsorships
A000069,A000360,40,47,1
A000069,A000109,26,50,0
A000069,B001261,19,37,0
A000069,B000243,45,50,2
A000069,B001233,43,50,1
A000069,B000382,36,49,1
A000069,B000444,33,34,1
A000069,B000468,47,49,3
A000069,B000611,37,48,1
A000069,B000711,43,44,3
A000069,B000944,50,50,3
A000069,B000953,26,42,0
A000069,B001066,29,48,1
A000069,B001135,32,49,0
A000069,B001210,44,47,1
A000069,C000127,46,50,3
A000069,C000141,47,50,2
A000069,C000174,43,50,1
A000069,C001070,45,50,0
A000069,C000286,34,49,1
A000069,C001041,27,29,3
A000069,C000560,17,49,0
A000069,C000567,36,49,2
A000069,C001057,40,49,1
A000069,C001035,40,50,2
A000069,C000705,43,50,0
A000069,C001071,33,49,1
A000069,C001056,31,49,1
A000069,C000858,31,47,1
A000069,C000880,32,49,0
A000069,D000595,12,47,0
A000069,D000388,33,34,3
A000069,D000601,34,47,0
A000069,D000407,38,49,2
A000069,D000432,45,47,2
A000069,D000563,47,50,3
A000069,E000194,26,48,1
A000069,E000285,28,49,1
A000069,F000061,44,50,1
A000069,F000062,45,50,3
A000069,G000359,28,48,0
A000069,G000386,40,50,0
A000069,G000445,25,45,0
A000069,H001028,30,48,1
A000069,H000206,47,47,2
A000069,H000338,38,49,2
A000069,H001016,39,50,1
A000069,I000024,21,47,0
A000069,I000025,41,47,3
A000069,I000055,34,48,1
A000069,J000177,26,31,3
A000069,K000105,39,40,3
A000069,K000148,45,47,3
A000069,K000367,48,50,2
A000069,K000305,45,50,2
A000069,K000352,25,49,0
A000069,L000550,40,48,1
A000069,L000123,45,49,2
A000069,L000174,50,50,2
A000069,L000261,46,50,3
A000069,L000304,41,49,2
A000069,L000035,41,48,2
A000069,L000447,20,28,1
A000069,L000504,38,47,1
A000069,M001162,35,50,1
A000069,M000303,8,14,0
A000069,M001170,45,50,2
A000069,M000355,35,50,1
A000069,M000639,46,49,2
A000069,M000702,43,49,2
A000069,M001153,40,49,2
A000069,M001111,45,48,3
A000069,N000032,40,48,2
A000069,N000180,43,49,2
A000069,O000167,17,20,3
A000069,P000590,43,50,1
A000069,R000122,48,50,1
A000069,R000146,48,50,3
A000069,R000307,36,49,1
A000069,R000361,44,49,1
A000069,S001163,45,50,3
A000069,S000033,44,49,1
A000069,S000148,46,49,3
A000069,S001141,32,48,0
A000069,S000320,36,49,0
A000069,S001142,43,50,3
A000069,S000663,42,50,2
A000069,S000709,42,49,1
A000069,S000770,46,50,3
A000069,S000888,42,49,3
A000069,S001078,35,50,0
A000069,T000464,47,50,1
A000069,T000162,8,12,1
A000069,T000250,34,49,0
A000069,V000127,24,49,1
A000069,V000126,32,48,1
A000069,W000154,35,45,1
A000069,W000803,44,49,1
A000069,W000802,45,50,1
A000069,W000437,12,18,0
A000069,W000779,44,48,0
A000360,A000109,32,47,0
A000360,B001261,22,34,0
A000360,B000243,43,47,0
A000360,B001233,44,47,1
A000360,B000382,41,46,1
A000360,B000444,27,32,1
A000360,B000468,39,46,1
A000360,B000611,40,45,1
A000360,B000711,35,43,1
A000360,B000944,40,47,1
A000360,B000953,31,39,0
A000360,B001066,35,47,1
A000360,B001135,37,46,0
A000360,B001210,34,44,1
A000360,C000127,40,47,1
A000360,C000141,41,47,1
A000360,C000174,42,47,1
A000360,C001070,42,47,0
A000360,C000286,39,46,1
A000360,C001041,22,27,1
A000360,C000560,23,46,0
A000360,C000567,41,46,1
A000360,C001057,44,46,1
A000360,C001035,44,47,1
A000360,C000705,42,47,0
A000360,C001071,38,46,1
A000360,C001056,37,46,1
A000360,C000858,37,44,1
A000360,C000880,38,46,0
A000360,D000595,19,44,0
A000360,D000388,26,31,1
A000360,D000601,38,44,0
A000360,D000407,44,46,1
A000360,D000432,37,46,0
A000360,D000563,41,47,1
A000360,E000194,31,45,1
A000360,E000285,33,46,1
A000360,F000061,34,47,0
A000360,F000062,42,47,1
A000360,G000359,33,45,0
A000360,G000386,46,47,0
A000360,G000445,32,44,0
A000360,H001028,35,46,1
A000360,H000206,39,46,1
A000360,H000338,43,46,1
A000360,H001016,45,47,1
A000360,I000024,27,44,0
A000360,I000025,41,45,1
A000360,I000055,39,45,1
A000360,J000177,29,30,1
A000360,K000105,34,37,1
A000360,K000148,41,46,1
A000360,K000367,41,47,1
A000360,K000305,43,47,1
A000360,K000352,28,46,0
A000360,L000550,40,46,1
A000360,L000123,40,46,1
A000360,L000174,40,47,1
A000360,L000261,40,47,1
A000360,L000304,43,46,1
A000360,L000035,40,45,1
A000360,L000447,24,28,1
A000360,L000504,45,47,1
A000360,M001162,41,47,1
A000360,M000303,11,14,0
A000360,M001170,42,47,1
A000360,M000355,41,47,1
A000360,M000639,40,46,1
A000360,M000702,42,46,1
A000360,M001153,43,46,1
A000360,M001111,41,47,1
A000360,N000032,40,45,1
A000360,N000180,42,46,1
A000360,O000167,14,18,1
A000360,P000590,43,47,1
A000360,R000122,38,47,0
A000360,R000146,40,47,1
A000360,R000307,42,46,1
A000360,R000361,42,46,1
A000360,S001163,44,47,1
A000360,S000033,35,47,0
A000360,S000148,40,46,1
A000360,S001141,37,45,0
A000360,S000320,40,46,0
A000360,S001142,45,47,1
A000360,S000663,46,47,1
A000360,S000709,45,46,0
A000360,S000770,38,47,1
A000360,S000888,45,46,1
A000360,S001078,41,47,0
A000360,T000464,39,47,0
A000360,T000162,9,12,0
A000360,T000250,40,46,0
A000360,V000127,30,46,1
A000360,V000126,35,45,1
A000360,W000154,41,42,1
A000360,W000803,43,46,0
A000360,W000802,39,47,0
A000360,W000437,14,17,0
A000360,W000779,38,45,0
A000109,B001261,31,37,0
A000109,B000243,29,50,0
A000109,B001233,31,50,0
A000109,B000382,35,49,0
A000109,B000444,16,34,0
A000109,B000468,25,49,0
A000109,B000611,35,48,0
A000109,B000711,22,44,0
A000109,B000944,26,50,0
A000109,B000953,36,42,0
A000109,B001066,43,48,0
A000109,B001135,41,49,0
A000109,B001210,23,47,0
A000109,C000127,28,50,0
A000109,C000141,27,50,0
A000109,C000174,29,50,0
A000109,C001070,31,50,0
A000109,C000286,39,49,0
A000109,C001041,14,29,0
A000109,C000560,36,49,0
A000109,C000567,39,49,0
A000109,C001057,34,49,0
A000109,C001035,32,50,0
A000109,C000705,29,50,0
A000109,C001071,38,49,0
A000109,C001056,40,49,0
A000109,C000858,39,47,0
A000109,C000880,40,49,0
A000109,D000595,36,47,0
A000109,D000388,17,34,0
A000109,D000601,36,47,0
A000109,D000407,34,49,0
A000109,D000432,26,47,0
A000109,D000563,27,50,0
A000109,E000194,39,48,0
A000109,E000285,41,49,0
A000109,F000061,24,50,0
A000109,F000062,29,50,0
A000109,G000359,43,48,0
A000109,G000386,36,50,0
A000109,G000445,35,45,0
A000109,H001028,35,48,0
A000109,H000206,26,47,0
A000109,H000338,33,49,0
A000109,H001016,37,50,0
A000109,I000024,42,47,0
A000109,I000025,28,47,0
A000109,I000055,38,48,0
A000109,J000177,22,31,0
A000109,K000105,25,40,0
A000109,K000148,27,47,0
A000109,K000367,28,50,0
A000109,K000305,29,50,0
A000109,K000352,38,49,0
A000109,L000550,31,48,0
A000109,L000123,26,49,0
A000109,L000174,26,50,0
A000109,L000261,28,50,0
A000109,L000304,32,49,0
A000109,L000035,27,48,0
A000109,L000447,24,28,0
A000109,L000504,30,47,0
A000109,M001162,41,50,0
A000109,M000303,11,14,0
A000109,M001170,31,50,0
A000109,M000355,41,50,0
A000109,M000639,26,49,0
A000109,M000702,29,49,0
A000109,M001153,33,49,0
A000109,M001111,27,48,0
A000109,N000032,29,48,0
A000109,N000180,32,49,0
A000109,O000167,9,20,0
A000109,P000590,31,50,0
A000109,R000122,24,50,0
A000109,R000146,26,50,0
A000109,R000307,38,49,0
A000109,R000361,29,49,0
A000109,S001163,31,50,0
A000109,S000033,24,49,0
A000109,S000148,26,49,0
A000109,S001141,42,48,0
A000109,S000320,39,49,0
A000109,S001142,33,50,0
A000109,S000663,34,50,0
A000109,S000709,33,49,0
A000109,S000770,28,50,0
A000109,S000888,33,49,0
A000109,S001078,35,50,0
A000109,T000464,27,50,0
A000109,T000162,11,12,0
A000109,T000250,40,49,0
A000109,V000127,44,49,0
