member_a_id,member_b_id,member_a_name,member_b_name,votes_same,bills_same,mutual_sponsorships
A000360,F000444,Lamar Alexander,Jeff Flake,12,13,1
C001035,S001141,Susan Collins,Jeff Sessions,1,1,0
B001230,C001098,Tammy Baldwin,Ted Cruz,12,16,0
H001075,T000461,Kamala Harris,Patrick Toomey,10,16,1
C000880,T000250,Michael Crapo,John Thune,16,17,0
G000555,R000595,Kirsten Gillibrand,Marco Rubio,10,16,0
H001069,M000934,Heidi Heitkamp,Jerry Moran,15,16,2
R000584,S001194,Jim Risch,Brian Schatz,14,16,0
B001288,H001079,Cory Booker,Cindy Hyde-Smith,6,6,0
B001230,C001095,Tammy Baldwin,Tom Cotton,13,17,0
A000360,E000295,Lamar Alexander,Joni Ernst,15,15,1
E000285,R000605,Michael Enzi,Mike Rounds,17,17,0
D000622,R000595,Tammy Duckworth,Marco Rubio,11,14,0
E000285,M001111,Michael Enzi,Patty Murray,12,16,0
E000285,S001202,Michael Enzi,Luther Strange,6,6,0
C000174,M001176,Thomas Carper,Jeff Merkley,13,17,0
B000944,P000595,Sherrod Brown,Gary Peters,16,17,0
C000880,F000457,Michael Crapo,Al Franken,7,8,0
G000359,R000307,Lindsey Graham,Pat Roberts,15,15,0
H001061,Y000064,John Hoeven,Todd Young,16,16,1
B001135,H001075,Richard Burr,Kamala Harris,12,16,1
B000575,C001071,Roy Blunt,Bob Corker,13,16,2
B001288,C001095,Cory Booker,Tom Cotton,12,16,1
C001095,H001075,Tom Cotton,Kamala Harris,13,17,1
B001230,S000033,Tammy Baldwin,Bernard Sanders,11,17,0
H001042,P000595,Mazie Hirono,Gary Peters,15,16,0
C001095,T000461,Tom Cotton,Patrick Toomey,14,16,1
H001046,K000352,Martin Heinrich,Jon Kyl,2,2,0
B001236,H001079,John Boozman,Cindy Hyde-Smith,6,6,0
C001070,F000463,Bob Casey,Deb Fischer,14,16,1
C001088,P000603,Christopher Coons,Rand Paul,6,17,0
C000567,M001169,Thad Cochran,Christopher Murphy,6,10,0
T000250,T000476,John Thune,Thom Tillis,17,17,0
K000393,W000802,John Kennedy,Sheldon Whitehouse,15,17,0
C001075,N000032,Bill Cassidy,Bill Nelson,15,16,1
K000352,R000584,Jon Kyl,Jim Risch,2,2,0
J000300,Y000064,Doug Jones,Todd Young,9,9,0
G000359,K000393,Lindsey Graham,John Kennedy,15,15,0
N000032,T000464,Bill Nelson,Jon Tester,16,17,1
B001135,M001170,Richard Burr,Claire McCaskill,14,16,1
C001088,V000128,Christopher Coons,Chris Van Hollen,14,17,1
K000393,W000817,John Kennedy,Elizabeth Warren,12,17,0
M000639,S001141,Robert Menendez,Jeff Sessions,1,1,0
D000622,R000122,Tammy Duckworth,Jack Reed,14,15,0
R000122,R000595,Jack Reed,Marco Rubio,14,16,0
B001230,Y000064,Tammy Baldwin,Todd Young,14,17,0
K000393,R000307,John Kennedy,Pat Roberts,17,17,1
L000577,M000355,Mike Lee,Mitch McConnell,9,17,0
B001236,K000384,John Boozman,Tim Kaine,15,16,1
F000444,M001183,Jeff Flake,Joe Manchin,11,15,1
B001230,D000618,Tammy Baldwin,Steve Daines,14,17,0
A000360,S001194,Lamar Alexander,Brian Schatz,12,14,0
C001098,D000618,Ted Cruz,Steve Daines,15,16,1
C001056,R000307,John Cornyn,Pat Roberts,16,16,1
C000567,T000476,Thad Cochran,Thom Tillis,10,10,0
C001113,M001170,Catherine Cortez Masto,Claire McCaskill,15,16,0
M001183,S001197,Joe Manchin,Ben Sasse,14,17,2
A000360,L000174,Lamar Alexander,Patrick Leahy,12,15,0
B001236,C001095,John Boozman,Tom Cotton,15,16,2
C001071,S001181,Bob Corker,Jeanne Shaheen,13,15,0
K000352,R000595,Jon Kyl,Marco Rubio,2,2,0
E000295,F000444,Joni Ernst,Jeff Flake,13,15,1
M000934,T000476,Jerry Moran,Thom Tillis,16,16,2
H001069,T000476,Heidi Heitkamp,Thom Tillis,16,17,2
K000383,T000250,Angus King,John Thune,16,17,0
C001056,G000359,John Cornyn,Lindsey Graham,14,14,0
B001236,T000461,John Boozman,Patrick Toomey,12,15,1
B000575,S001181,Roy Blunt,Jeanne Shaheen,15,16,0
B001236,H001075,John Boozman,Kamala Harris,14,16,1
B000944,S001198,Sherrod Brown,Dan Sullivan,14,16,0
C000174,W000802,Thomas Carper,Sheldon Whitehouse,16,17,0
T000250,W000437,John Thune,Roger Wicker,17,17,0
C001075,D000607,Bill Cassidy,Joe Donnelly,15,16,2
H001075,K000384,Kamala Harris,Tim Kaine,15,17,1
K000384,T000461,Tim Kaine,Patrick Toomey,12,16,1
M000639,S000033,Robert Menendez,Bernard Sanders,9,16,0
D000563,S000770,Richard Durbin,Debbie Stabenow,14,17,0
D000622,H001046,Tammy Duckworth,Martin Heinrich,13,14,0
M001111,S000320,Patty Murray,Richard Shelby,12,16,0
F000457,T000250,Al Franken,John Thune,7,8,0
F000457,M001176,Al Franken,Jeff Merkley,6,8,0
B001277,S000148,Richard Blumenthal,Charles Schumer,15,17,1
T000464,T000461,Jon Tester,Patrick Toomey,11,16,1
A000360,C000880,Lamar Alexander,Michael Crapo,14,15,1
D000607,N000032,Joe Donnelly,Bill Nelson,17,17,1
B001135,C001113,Richard Burr,Catherine Cortez Masto,12,15,0
F000062,I000055,Dianne Feinstein,Johnny Isakson,11,14,0
G000562,G000386,Cory Gardner,Charles Grassley,17,17,1
J000293,K000384,Ron Johnson,Tim Kaine,14,17,0
C001056,K000393,John Cornyn,John Kennedy,16,16,1
B001267,R000307,Michael Bennet,Pat Roberts,16,17,1
M001111,W000805,Patty Murray,Mark Warner,13,16,0
E000295,F000463,Joni Ernst,Deb Fischer,16,16,1
C000880,M000133,Michael Crapo,Edward Markey,11,17,0
C001088,M001170,Christopher Coons,Claire McCaskill,17,17,2
K000384,M001169,Tim Kaine,Christopher Murphy,14,17,0
B001135,V000128,Richard Burr,Chris Van Hollen,11,16,1
C000174,I000024,Thomas Carper,James Inhofe,14,16,1
B001267,S000148,Michael Bennet,Charles Schumer,16,17,1
I000024,S001181,James Inhofe,Jeanne Shaheen,13,15,0
B001236,M001169,John Boozman,Christopher Murphy,12,16,0
F000457,K000383,Al Franken,Angus King,8,8,0
F000062,L000577,Dianne Feinstein,Mike Lee,8,17,0
A000360,F000463,Lamar Alexander,Deb Fischer,14,14,2
C001075,H000338,Bill Cassidy,Orrin Hatch,16,16,1
M000639,W000437,Robert Menendez,Roger Wicker,13,16,2
B000944,W000779,Sherrod Brown,Ron Wyden,12,17,0
S000770,W000817,Debbie Stabenow,Elizabeth Warren,13,17,0
B001135,P000603,Richard Burr,Rand Paul,7,16,0
B001267,G000359,Michael Bennet,Lindsey Graham,14,15,0
C000880,K000383,Michael Crapo,Angus King,15,17,2
W000817,W000802,Elizabeth Warren,Sheldon Whitehouse,14,17,0
I000024,M001176,James Inhofe,Jeff Merkley,10,16,0
H001042,S001181,Mazie Hirono,Jeanne Shaheen,14,15,0
I000024,M000934,James Inhofe,Jerry Moran,14,15,2
H000338,H001079,Orrin Hatch,Cindy Hyde-Smith,7,7,0
C001070,E000295,Bob Casey,Joni Ernst,15,17,1
M001176,T000476,Jeff Merkley,Thom Tillis,12,17,0
C000567,K000384,Thad Cochran,Tim Kaine,9,10,0
K000383,M000133,Angus King,Edward Markey,13,17,0
M001176,M001153,Jeff Merkley,Lisa Murkowski,11,17,0
E000295,S000033,Joni Ernst,Bernard Sanders,8,17,0
M001170,P000603,Claire McCaskill,Rand Paul,6,17,0
B001236,C000567,John Boozman,Thad Cochran,10,10,0
R000605,S001202,Mike Rounds,Luther Strange,6,6,1
B001261,D000563,John Barrasso,Richard Durbin,13,17,0
B001277,F000444,Richard Blumenthal,Jeff Flake,9,15,1
A000360,C001070,Lamar Alexander,Bob Casey,13,15,1
B000944,H001041,Sherrod Brown,Dean Heller,14,17,0
L000575,S000148,James Lankford,Charles Schumer,14,17,0
G000562,S001184,Cory Gardner,Tim Scott,17,17,1
M000639,M001153,Robert Menendez,Lisa Murkowski,14,16,2
B001135,C001088,Richard Burr,Christopher Coons,14,16,1
