member_a_id,member_b_id,member_a_name,member_b_name,metric
S000709,S000709,Arlen Specter,Arlen Specter,0.0
I000025,W000802,Daniel Inouye,Sheldon Whitehouse,0.975609756097561
B000611,S000770,Christopher Bond,Debbie Stabenow,0.7027027027027027
B000711,M000303,Barbara Boxer,John McCain,0.3170731707317073
L000174,L000572,Patrick Leahy,George LeMieux,0.5
K000305,P000590,Herb Kohl,Mark Pryor,0.9512195121951219
C001071,S001141,Bob Corker,Jeff Sessions,0.85
M000303,M001170,John McCain,Claire McCaskill,0.4473684210526316
D000432,L000550,Byron Dorgan,Mary Landrieu,0.972972972972973
C000705,L000174,Kent Conrad,Patrick Leahy,0.925
L000261,R000307,Carl Levin,Pat Roberts,0.4634146341463415
I000055,J000177,Johnny Isakson,Tim Johnson,0.3611111111111111
D000388,F000457,Christopher Dodd,Al Franken,0.9615384615384616
F000457,M001111,Al Franken,Patty Murray,0.9629629629629629
C001041,S000033,Hillary Clinton,Bernard Sanders,0.5
B000382,C000560,Robert Bennett,Tom Coburn,0.5128205128205128
C000174,W000779,Thomas Carper,Ron Wyden,0.95
L000304,S000033,Joseph Lieberman,Bernard Sanders,0.9230769230769231
C000880,G000555,Michael Crapo,Kirsten Gillibrand,0.46153846153846156
C001041,L000304,Hillary Clinton,Joseph Lieberman,0.5
B001268,C001088,Scott Brown,Christopher Coons,0.5
B001267,L000261,Michael Bennet,Carl Levin,0.95
C001035,M000303,Susan Collins,John McCain,0.4146341463414634
C000705,M001183,Kent Conrad,Joe Manchin,0.5
I000024,K000105,James Inhofe,Edward Kennedy,0.0
B000711,C001035,Barbara Boxer,Susan Collins,0.8780487804878049
B000243,F000062,Max Baucus,Dianne Feinstein,0.9487179487179487
D000388,H000338,Christopher Dodd,Orrin Hatch,0.5128205128205128
A000360,B000444,Lamar Alexander,Joseph Biden,0.0
C001070,W000779,Bob Casey,Ron Wyden,0.9512195121951219
E000285,S000320,Michael Enzi,Richard Shelby,0.6829268292682927
C000174,C001070,Thomas Carper,Bob Casey,0.975
L000123,R000361,Frank Lautenberg,John Rockefeller,0.9696969696969697
L000572,M001183,George LeMieux,Joe Manchin,0.5
L000572,W000805,George LeMieux,Mark Warner,0.5263157894736842
K000367,K000305,Amy Klobuchar,Herb Kohl,0.975
B001267,R000307,Michael Bennet,Pat Roberts,0.5
P000590,T000250,Mark Pryor,John Thune,0.3902439024390244
B000468,S000770,Jeff Bingaman,Debbie Stabenow,0.975609756097561
I000025,T000250,Daniel Inouye,John Thune,0.36585365853658536
L000174,M001183,Patrick Leahy,Joe Manchin,0.5
K000367,P000590,Amy Klobuchar,Mark Pryor,0.95
B000468,B000611,Jeff Bingaman,Christopher Bond,0.7027027027027027
B001268,G000386,Scott Brown,Charles Grassley,0.7272727272727273
A000360,S001181,Lamar Alexander,Jeanne Shaheen,0.65
B000711,W000779,Barbara Boxer,Ron Wyden,0.9512195121951219
N000032,R000361,Bill Nelson,John Rockefeller,0.9696969696969697
C001070,C001035,Bob Casey,Susan Collins,0.8780487804878049
D000563,H000338,Richard Durbin,Orrin Hatch,0.525
C001071,M001183,Bob Corker,Joe Manchin,0.0
B001066,W000437,Jim Bunning,Roger Wicker,0.6756756756756757
F000457,W000805,Al Franken,Mark Warner,0.9230769230769231
K000374,R000307,Paul Kirk,Pat Roberts,0.5
G000359,I000024,Lindsey Graham,James Inhofe,0.8461538461538461
E000194,K000367,John Ensign,Amy Klobuchar,0.28205128205128205
L000504,S001163,Richard Lugar,Ken Salazar,0.5
D000388,W000805,Christopher Dodd,Mark Warner,0.9487179487179487
B000711,C000174,Barbara Boxer,Thomas Carper,0.975
C001056,G000561,John Cornyn,Carte Goodwin,0.0
K000374,L000261,Paul Kirk,Carl Levin,0.875
C000174,M000303,Thomas Carper,John McCain,0.3
M001111,R000307,Patty Murray,Pat Roberts,0.46153846153846156
L000550,N000180,Mary Landrieu,Ben Nelson,0.8947368421052632
G000445,K000360,Judd Gregg,Mark Kirk,0.5
B000382,H001016,Robert Bennett,Kay Hutchison,0.7297297297297297
C000705,C001071,Kent Conrad,Bob Corker,0.43902439024390244
B001066,M001176,Jim Bunning,Jeff Merkley,0.3157894736842105
C001088,G000386,Christopher Coons,Charles Grassley,0.5
C001035,W000779,Susan Collins,Ron Wyden,0.8536585365853658
D000595,V000127,Jim DeMint,David Vitter,0.631578947368421
B000711,C001070,Barbara Boxer,Bob Casey,0.975609756097561
E000194,P000590,John Ensign,Mark Pryor,0.3
B000444,S001181,Joseph Biden,Jeanne Shaheen,0.0
C001070,M000303,Bob Casey,John McCain,0.3170731707317073
C000705,S001141,Kent Conrad,Jeff Sessions,0.35
L000123,N000032,Frank Lautenberg,Bill Nelson,0.9736842105263158
D000432,N000180,Byron Dorgan,Ben Nelson,0.9
B000944,S000709,Sherrod Brown,Arlen Specter,0.9743589743589743
C000567,U000038,Thad Cochran,Mark Udall,0.625
C000174,C001035,Thomas Carper,Susan Collins,0.875
C001071,L000174,Bob Corker,Patrick Leahy,0.425
L000572,S001141,George LeMieux,Jeff Sessions,0.7
B001267,K000374,Michael Bennet,Paul Kirk,0.875
C000560,H001016,Tom Coburn,Kay Hutchison,0.5384615384615384
K000352,M001111,Jon Kyl,Patty Murray,0.28205128205128205
R000122,T000464,Jack Reed,Jon Tester,0.975
G000359,K000105,Lindsey Graham,Edward Kennedy,0.0
C001088,R000584,Christopher Coons,Jim Risch,0.0
L000174,S001141,Patrick Leahy,Jeff Sessions,0.3333333333333333
B000953,M001183,Sam Brownback,Joe Manchin,0.0
H001049,L000504,Kay Hagan,Richard Lugar,0.675
F000457,S000033,Al Franken,Bernard Sanders,0.9230769230769231
C001056,G000555,John Cornyn,Kirsten Gillibrand,0.41025641025641024
J000177,R000307,Tim Johnson,Pat Roberts,0.41025641025641024
I000055,L000261,Johnny Isakson,Carl Levin,0.42105263157894735
D000388,S000033,Christopher Dodd,Bernard Sanders,0.9230769230769231
B001233,K000105,Evan Bayh,Edward Kennedy,0.6666666666666666
C000705,L000572,Kent Conrad,George LeMieux,0.5
C001041,D000388,Hillary Clinton,Christopher Dodd,0.5
M001111,S000320,Patty Murray,Richard Shelby,0.5384615384615384
F000062,S000148,Dianne Feinstein,Charles Schumer,0.975
B001265,K000305,Mark Begich,Herb Kohl,0.975
R000361,S000709,John Rockefeller,Arlen Specter,0.9696969696969697
J000177,L000261,Tim Johnson,Carl Levin,0.9487179487179487
K000374,R000584,Paul Kirk,Jim Risch,0.5
G000445,T000250,Judd Gregg,John Thune,0.65
B001233,C001070,Evan Bayh,Bob Casey,0.825
G000386,R000584,Charles Grassley,Jim Risch,0.7804878048780488
H000338,L000304,Orrin Hatch,Joseph Lieberman,0.5128205128205128
I000055,R000307,Johnny Isakson,Pat Roberts,0.8157894736842105
B001265,P000590,Mark Begich,Mark Pryor,0.95
B001265,K000367,Mark Begich,Amy Klobuchar,0.9743589743589743
G000445,W000802,Judd Gregg,Sheldon Whitehouse,0.55
F000457,L000304,Al Franken,Joseph Lieberman,0.9615384615384616
G000445,I000025,Judd Gregg,Daniel Inouye,0.55
C001056,C000880,John Cornyn,Michael Crapo,0.9024390243902439
B001267,I000055,Michael Bennet,Johnny Isakson,0.43243243243243246
B001066,U000038,Jim Bunning,Mark Udall,0.32432432432432434
M001170,U000038,Claire McCaskill,Mark Udall,0.8648648648648649
E000285,T000464,Michael Enzi,Jon Tester,0.4146341463414634
B000953,C000705,Sam Brownback,Kent Conrad,0.5128205128205128
B000944,N000032,Sherrod Brown,Bill Nelson,0.9743589743589743
A000069,S001181,Daniel Akaka,Jeanne Shaheen,0.975
D000388,L000304,Christopher Dodd,Joseph Lieberman,0.9743589743589743
B001267,J000177,Michael Bennet,Tim Johnson,0.9210526315789473
G000555,U000038,Kirsten Gillibrand,Mark Udall,0.9473684210526315
B000953,L000572,Sam Brownback,George LeMieux,0.7368421052631579
E000285,R000122,Michael Enzi,Jack Reed,0.4
B000243,M001162,Max Baucus,Mel Martinez,0.75
C001041,H000338,Hillary Clinton,Orrin Hatch,0.5
B000243,S000148,Max Baucus,Charles Schumer,0.95
B001233,I000024,Evan Bayh,James Inhofe,0.39473684210526316
E000194,R000361,John Ensign,John Rockefeller,0.17647058823529413
B000953,L000174,Sam Brownback,Patrick Leahy,0.47368421052631576
H000338,S000033,Orrin Hatch,Bernard Sanders,0.48717948717948717
H001016,M000702,Kay Hutchison,Barbara Mikulski,0.5588235294117647
B000611,R000146,Christopher Bond,Harry Reid,0.7027027027027027
A000069,B000444,Daniel Akaka,Joseph Biden,0.0
B000953,S001141,Sam Brownback,Jeff Sessions,0.7631578947368421
C000127,L000035,Maria Cantwell,Blanche Lincoln,0.925
I000025,K000360,Daniel Inouye,Mark Kirk,0.5
R000146,S000770,Harry Reid,Debbie Stabenow,0.975609756097561
C000560,M000702,Tom Coburn,Barbara Mikulski,0.16666666666666666
S000033,W000805,Bernard Sanders,Mark Warner,0.8974358974358975
B000953,C001071,Sam Brownback,Bob Corker,0.717948717948718
C001041,W000805,Hillary Clinton,Mark Warner,0.5
C000141,M000355,Benjamin Cardin,Mitch McConnell,0.3902439024390244
I000055,K000374,Johnny Isakson,Paul Kirk,0.5
J000291,V000126,Mike Johanns,George Voinovich,0.6829268292682927
B001266,K000373,Roland Burris,Edward Kaufman,0.9736842105263158
H001049,S001163,Kay Hagan,Ken Salazar,0.5
M001111,U000039,Patty Murray,Tom Udall,0.9736842105263158
B001135,D000595,Richard Burr,Jim DeMint,0.8
C000567,M001170,Thad Cochran,Claire McCaskill,0.5789473684210527
M000639,U000039,Robert Menendez,Tom Udall,0.972972972972973
B000382,M000702,Robert Bennett,Barbara Mikulski,0.5428571428571428
G000555,G000561,Kirsten Gillibrand,Carte Goodwin,0.6666666666666666
B000944,L000123,Sherrod Brown,Frank Lautenberg,0.9736842105263158
B001261,M001162,John Barrasso,Mel Martinez,0.7
D000563,F000061,Richard Durbin,Russ Feingold,0.8292682926829268
L000304,W000805,Joseph Lieberman,Mark Warner,0.9487179487179487
D000595,H000338,Jim DeMint,Orrin Hatch,0.5897435897435898
B000944,R000361,Sherrod Brown,John Rockefeller,0.9696969696969697
B001233,G000359,Evan Bayh,Lindsey Graham,0.475
A000069,A000360,Daniel Akaka,Lamar Alexander,0.6585365853658537
K000352,S000320,Jon Kyl,Richard Shelby,0.6585365853658537
I000025,S000663,Daniel Inouye,Olympia Snowe,0.8536585365853658
B001265,E000194,Mark Begich,John Ensign,0.2564102564102564
K000360,T000250,Mark Kirk,John Thune,0.0
C000880,G000561,Michael Crapo,Carte Goodwin,0.0
B001210,M001153,Robert Byrd,Lisa Murkowski,0.7
B000468,R000146,Jeff Bingaman,Harry Reid,0.975609756097561
M001176,W000437,Jeff Merkley,Roger Wicker,0.575
B001265,V000127,Mark Begich,David Vitter,0.5
