member_a_id,member_b_id,member_a_name,member_b_name,metric
A000109,D000596,Wayne Allard,Mark Dayton,0.0
L000261,M001162,Carl Levin,Mel Martinez,0.0
B000711,F000062,Barbara Boxer,Dianne Feinstein,0.0
B000611,H001016,Christopher Bond,Kay Hutchison,1.0
D000563,O000167,Richard Durbin,Barack Obama,0.0
C001040,L000035,Lincoln Chafee,Blanche Lincoln,1.0
C000174,S000888,Thomas Carper,Ted Stevens,0.0
B000611,F000061,Christopher Bond,Russ Feingold,0.0
S001141,T000250,Jeff Sessions,John Thune,4.0
B001126,S000064,Conrad Burns,Paul Sarbanes,0.0
L000304,M000355,Joseph Lieberman,Mitch McConnell,1.0
T000250,V000126,John Thune,George Voinovich,3.0
M000303,S001142,John McCain,Gordon Smith,2.0
H000206,L000304,Tom Harkin,Joseph Lieberman,0.0
C000705,K000305,Kent Conrad,Herb Kohl,0.0
M001162,S000888,Mel Martinez,Ted Stevens,1.0
B001066,L000174,Jim Bunning,Patrick Leahy,0.0
D000432,G000359,Byron Dorgan,Lindsey Graham,1.0
G000445,J000177,Judd Gregg,Tim Johnson,1.0
F000061,I000025,Russ Feingold,Daniel Inouye,0.0
S000770,T000024,Debbie Stabenow,James Talent,0.0
B001066,B001135,Jim Bunning,Richard Burr,2.0
B000711,G000386,Barbara Boxer,Charles Grassley,0.0
F000062,L000304,Dianne Feinstein,Joseph Lieberman,1.0
B001210,C000560,Robert Byrd,Tom Coburn,1.0
H001016,L000035,Kay Hutchison,Blanche Lincoln,1.0
B000611,C001040,Christopher Bond,Lincoln Chafee,1.0
E000285,S000888,Michael Enzi,Ted Stevens,1.0
C000286,K000148,Saxby Chambliss,John Kerry,0.0
B000611,L000035,Christopher Bond,Blanche Lincoln,2.0
C000858,H001028,Larry Craig,Chuck Hagel,3.0
C000174,E000285,Thomas Carper,Michael Enzi,1.0
R000122,S001141,Jack Reed,Jeff Sessions,1.0
B001066,T000024,Jim Bunning,James Talent,2.0
C001040,H001016,Lincoln Chafee,Kay Hutchison,0.0
B000382,D000294,Robert Bennett,Michael DeWine,1.0
S000064,S000320,Paul Sarbanes,Richard Shelby,0.0
C000858,R000146,Larry Craig,Harry Reid,0.0
D000388,I000024,Christopher Dodd,James Inhofe,0.0
F000439,L000504,William Frist,Richard Lugar,1.0
G000359,T000024,Lindsey Graham,James Talent,2.0
S000059,S000709,Richard Santorum,Arlen Specter,2.0
H001028,M000702,Chuck Hagel,Barbara Mikulski,1.0
K000352,M001162,Jon Kyl,Mel Martinez,3.0
K000352,L000261,Jon Kyl,Carl Levin,0.0
M000355,N000180,Mitch McConnell,Ben Nelson,2.0
B001126,S000320,Conrad Burns,Richard Shelby,2.0
K000352,S000888,Jon Kyl,Ted Stevens,1.0
A000069,C000286,Daniel Akaka,Saxby Chambliss,0.0
M001153,S001141,Lisa Murkowski,Jeff Sessions,1.0
B000468,B000953,Jeff Bingaman,Sam Brownback,0.0
B001066,L000550,Jim Bunning,Mary Landrieu,1.0
B000444,E000194,Joseph Biden,John Ensign,0.0
A000360,H000338,Lamar Alexander,Orrin Hatch,3.0
L000550,T000024,Mary Landrieu,James Talent,2.0
D000432,L000504,Byron Dorgan,Richard Lugar,0.0
C000174,S000148,Thomas Carper,Charles Schumer,1.0
B001233,D000601,Evan Bayh,Elizabeth Dole,0.0
S000148,S000888,Charles Schumer,Ted Stevens,0.0
N000032,S000663,Bill Nelson,Olympia Snowe,0.0
A000069,K000148,Daniel Akaka,John Kerry,0.0
M001162,S001163,Mel Martinez,Ken Salazar,1.0
C000567,L000304,Thad Cochran,Joseph Lieberman,0.0
E000194,T000162,John Ensign,Craig Thomas,1.0
B001135,L000550,Richard Burr,Mary Landrieu,1.0
C000858,M000702,Larry Craig,Barbara Mikulski,0.0
B001135,T000024,Richard Burr,James Talent,2.0
L000123,S000770,Frank Lautenberg,Debbie Stabenow,0.0
C000127,M000639,Maria Cantwell,Robert Menendez,0.0
I000055,S001141,Johnny Isakson,Jeff Sessions,3.0
D000595,G000359,Jim DeMint,Lindsey Graham,2.0
H001028,R000146,Chuck Hagel,Harry Reid,0.0
C000174,K000352,Thomas Carper,Jon Kyl,1.0
B000444,P000590,Joseph Biden,Mark Pryor,0.0
B001135,C000560,Richard Burr,Tom Coburn,2.0
D000407,S000770,Pete Domenici,Debbie Stabenow,0.0
M000702,T000250,Barbara Mikulski,John Thune,0.0
C000286,S001078,Saxby Chambliss,John Sununu,1.0
D000563,L000304,Richard Durbin,Joseph Lieberman,0.0
B000953,E000194,Sam Brownback,John Ensign,2.0
F000439,J000177,William Frist,Tim Johnson,1.0
D000294,M001162,Michael DeWine,Mel Martinez,2.0
C000127,D000595,Maria Cantwell,Jim DeMint,0.0
D000294,L000261,Michael DeWine,Carl Levin,0.0
B000711,M000303,Barbara Boxer,John McCain,0.0
B000444,D000388,Joseph Biden,Christopher Dodd,1.0
C000880,L000123,Michael Crapo,Frank Lautenberg,0.0
I000025,W000154,Daniel Inouye,John Warner,0.0
B000711,S001142,Barbara Boxer,Gordon Smith,0.0
A000360,M001153,Lamar Alexander,Lisa Murkowski,1.0
D000601,K000105,Elizabeth Dole,Edward Kennedy,0.0
F000062,S001142,Dianne Feinstein,Gordon Smith,0.0
D000407,N000180,Pete Domenici,Ben Nelson,2.0
B001066,B001210,Jim Bunning,Robert Byrd,1.0
C000705,D000601,Kent Conrad,Elizabeth Dole,1.0
B001210,T000024,Robert Byrd,James Talent,1.0
R000146,V000126,Harry Reid,George Voinovich,0.0
R000122,V000126,Jack Reed,George Voinovich,0.0
I000024,P000590,James Inhofe,Mark Pryor,1.0
D000432,M000639,Byron Dorgan,Robert Menendez,0.0
B001233,I000024,Evan Bayh,James Inhofe,0.0
A000360,I000055,Lamar Alexander,Johnny Isakson,3.0
B000382,L000261,Robert Bennett,Carl Levin,0.0
B000382,M001162,Robert Bennett,Mel Martinez,2.0
M000303,M000639,John McCain,Robert Menendez,0.0
L000174,S001078,Patrick Leahy,John Sununu,0.0
B000468,T000162,Jeff Bingaman,Craig Thomas,1.0
H000338,M000702,Orrin Hatch,Barbara Mikulski,1.0
F000061,W000154,Russ Feingold,John Warner,0.0
O000167,S001141,Barack Obama,Jeff Sessions,0.0
D000601,K000305,Elizabeth Dole,Herb Kohl,0.0
L000447,M000355,Trent Lott,Mitch McConnell,4.0
B001210,L000550,Robert Byrd,Mary Landrieu,1.0
D000601,M001111,Elizabeth Dole,Patty Murray,0.0
A000121,C001035,George Allen,Susan Collins,2.0
B001233,C000705,Evan Bayh,Kent Conrad,0.0
A000360,D000563,Lamar Alexander,Richard Durbin,0.0
A000360,S001141,Lamar Alexander,Jeff Sessions,5.0
C001057,L000174,Norm Coleman,Patrick Leahy,0.0
A000109,S000059,Wayne Allard,Richard Santorum,2.0
D000596,S000059,Mark Dayton,Richard Santorum,0.0
H000338,I000055,Orrin Hatch,Johnny Isakson,2.0
C000127,D000432,Maria Cantwell,Byron Dorgan,0.0
B000611,C001056,Christopher Bond,John Cornyn,2.0
D000388,S001142,Christopher Dodd,Gordon Smith,0.0
B000444,I000024,Joseph Biden,James Inhofe,0.0
H001028,V000126,Chuck Hagel,George Voinovich,3.0
B001233,K000305,Evan Bayh,Herb Kohl,0.0
C001041,L000504,Hillary Clinton,Richard Lugar,0.0
C001042,I000025,Jon Corzine,Daniel Inouye,0.0
B000468,H001016,Jeff Bingaman,Kay Hutchison,0.0
C001056,H001016,John Cornyn,Kay Hutchison,3.0
C001040,C001056,Lincoln Chafee,John Cornyn,1.0
C000858,V000126,Larry Craig,George Voinovich,2.0
S000148,W000779,Charles Schumer,Ron Wyden,0.0
B000953,T000162,Sam Brownback,Craig Thomas,1.0
C000880,S000770,Michael Crapo,Debbie Stabenow,0.0
K000148,L000504,John Kerry,Richard Lugar,0.0
G000445,V000127,Judd Gregg,David Vitter,3.0
L000447,N000180,Trent Lott,Ben Nelson,2.0
C001056,L000035,John Cornyn,Blanche Lincoln,2.0
G000386,N000032,Charles Grassley,Bill Nelson,0.0
D000388,P000590,Christopher Dodd,Mark Pryor,0.0
B000444,G000359,Joseph Biden,Lindsey Graham,0.0
D000595,M000639,Jim DeMint,Robert Menendez,0.0
A000360,R000122,Lamar Alexander,Jack Reed,1.0
C000858,T000250,Larry Craig,John Thune,2.0
L000174,M001111,Patrick Leahy,Patty Murray,0.0
B000382,K000352,Robert Bennett,Jon Kyl,2.0
S000064,S000888,Paul Sarbanes,Ted Stevens,0.0
L000261,R000146,Carl Levin,Harry Reid,0.0
C001040,K000105,Lincoln Chafee,Edward Kennedy,0.0
F000439,N000180,William Frist,Ben Nelson,2.0
B000468,D000294,Jeff Bingaman,Michael DeWine,1.0
R000307,V000126,Pat Roberts,George Voinovich,2.0
K000105,L000035,Edward Kennedy,Blanche Lincoln,0.0
R000122,T000250,Jack Reed,John Thune,0.0
M000702,W000779,Barbara Mikulski,Ron Wyden,0.0
B000444,C000174,Joseph Biden,Thomas Carper,0.0
C001041,N000180,Hillary Clinton,Ben Nelson,0.0
J000177,T000024,Tim Johnson,James Talent,1.0
C001057,F000061,Norm Coleman,Russ Feingold,0.0
D000563,L000261,Richard Durbin,Carl Levin,0.0
D000595,S001141,Jim DeMint,Jeff Sessions,4.0
B000444,S000888,Joseph Biden,Ted Stevens,0.0
D000432,M001153,Byron Dorgan,Lisa Murkowski,1.0
D000595,R000122,Jim DeMint,Jack Reed,0.0
A000360,M000639,Lamar Alexander,Robert Menendez,0.0
C001035,C000880,Susan Collins,Michael Crapo,1.0
S000709,V000127,Arlen Specter,David Vitter,1.0
D000601,O000167,Elizabeth Dole,Barack Obama,0.0
B000444,E000285,Joseph Biden,Michael Enzi,1.0
K000305,L000035,Herb Kohl,Blanche Lincoln,1.0
G000445,R000122,Judd Gregg,Jack Reed,1.0
B001126,C001035,Conrad Burns,Susan Collins,1.0
C001057,I000025,Norm Coleman,Daniel Inouye,0.0
D000432,F000062,Byron Dorgan,Dianne Feinstein,0.0
B000382,B000468,Robert Bennett,Jeff Bingaman,0.0
M000702,R000146,Barbara Mikulski,Harry Reid,0.0
B000611,K000105,Christopher Bond,Edward Kennedy,0.0
D000432,I000055,Byron Dorgan,Johnny Isakson,1.0
A000069,S000059,Daniel Akaka,Richard Santorum,0.0
C000127,H000338,Maria Cantwell,Orrin Hatch,1.0
C000567,C001042,Thad Cochran,Jon Corzine,0.0
H001016,K000105,Kay Hutchison,Edward Kennedy,0.0
M001162,T000162,Mel Martinez,Craig Thomas,1.0
B001233,O000167,Evan Bayh,Barack Obama,0.0
D000432,S001141,Byron Dorgan,Jeff Sessions,1.0
C001040,D000563,Lincoln Chafee,Richard Durbin,0.0
C000560,J000072,Tom Coburn,James Jeffords,0.0
C001041,M000355,Hillary Clinton,Mitch McConnell,0.0
D000563,L000035,Richard Durbin,Blanche Lincoln,0.0
C001057,M001111,Norm Coleman,Patty Murray,0.0
J000072,S000663,James Jeffords,Olympia Snowe,1.0
C001042,H000206,Jon Corzine,Tom Harkin,1.0
E000194,M001162,John Ensign,Mel Martinez,3.0
C001042,L000304,Jon Corzine,Joseph Lieberman,0.0
D000407,L000504,Pete Domenici,Richard Lugar,0.0
F000439,M000355,William Frist,Mitch McConnell,5.0
K000148,S000059,John Kerry,Richard Santorum,0.0
S000709,S001078,Arlen Specter,John Sununu,1.0
B000953,D000294,Sam Brownback,Michael DeWine,1.0
C000880,G000445,Michael Crapo,Judd Gregg,1.0
A000360,C000127,Lamar Alexander,Maria Cantwell,1.0
B000953,P000590,Sam Brownback,Mark Pryor,1.0
C000286,S000059,Saxby Chambliss,Richard Santorum,2.0
L000550,M000702,Mary Landrieu,Barbara Mikulski,0.0
B000243,M000303,Max Baucus,John McCain,1.0
D000595,I000055,Jim DeMint,Johnny Isakson,2.0
G000359,S001141,Lindsey Graham,Jeff Sessions,2.0
B000382,B000953,Robert Bennett,Sam Brownback,2.0
B000611,L000550,Christopher Bond,Mary Landrieu,2.0
B000611,C000127,Christopher Bond,Maria Cantwell,0.0
C000174,P000590,Thomas Carper,Mark Pryor,0.0
D000601,S001163,Elizabeth Dole,Ken Salazar,1.0
B000611,D000563,Christopher Bond,Richard Durbin,0.0
K000305,W000779,Herb Kohl,Ron Wyden,0.0
I000055,R000146,Johnny Isakson,Harry Reid,0.0
B001210,J000072,Robert Byrd,James Jeffords,0.0
B000444,S000148,Joseph Biden,Charles Schumer,0.0
N000032,V000127,Bill Nelson,David Vitter,0.0
B000243,S001142,Max Baucus,Gordon Smith,1.0
D000563,H001016,Richard Durbin,Kay Hutchison,0.0
K000148,L000174,John Kerry,Patrick Leahy,0.0
C000880,J000177,Michael Crapo,Tim Johnson,1.0
D000432,R000122,Byron Dorgan,Jack Reed,0.0
S001141,S000709,Jeff Sessions,Arlen Specter,2.0
C000174,D000388,Thomas Carper,Christopher Dodd,1.0
B000468,L000261,Jeff Bingaman,Carl Levin,0.0
G000386,K000305,Charles Grassley,Herb Kohl,1.0
B000468,M001162,Jeff Bingaman,Mel Martinez,0.0
C000705,O000167,Kent Conrad,Barack Obama,0.0
A000360,D000432,Lamar Alexander,Byron Dorgan,1.0
C001041,D000407,Hillary Clinton,Pete Domenici,0.0
R000361,S001078,John Rockefeller,John Sununu,1.0
R000146,S000888,Harry Reid,Ted Stevens,0.0
B000382,T000162,Robert Bennett,Craig Thomas,1.0
C000127,S001141,Maria Cantwell,Jeff Sessions,1.0
I000055,M000639,Johnny Isakson,Robert Menendez,0.0
M001153,S000888,Lisa Murkowski,Ted Stevens,1.0
M001111,W000154,Patty Murray,John Warner,0.0
B000953,K000352,Sam Brownback,Jon Kyl,2.0
C000705,L000035,Kent Conrad,Blanche Lincoln,1.0
K000305,O000167,Herb Kohl,Barack Obama,0.0
D000596,K000148,Mark Dayton,John Kerry,1.0
A000109,K000148,Wayne Allard,John Kerry,0.0
D000388,T000162,Christopher Dodd,Craig Thomas,1.0
M000702,R000307,Barbara Mikulski,Pat Roberts,1.0
M000702,S000148,Barbara Mikulski,Charles Schumer,0.0
C001057,W000154,Norm Coleman,John Warner,1.0
C001056,D000563,John Cornyn,Richard Durbin,0.0
I000055,R000122,Johnny Isakson,Jack Reed,1.0
R000146,R000307,Harry Reid,Pat Roberts,0.0
B001233,W000779,Evan Bayh,Ron Wyden,0.0
A000109,C000286,Wayne Allard,Saxby Chambliss,2.0
A000360,G000359,Lamar Alexander,Lindsey Graham,2.0
C000880,V000127,Michael Crapo,David Vitter,2.0
D000294,T000162,Michael DeWine,Craig Thomas,0.0
F000062,S000888,Dianne Feinstein,Ted Stevens,0.0
J000072,L000550,James Jeffords,Mary Landrieu,0.0
D000595,H000338,Jim DeMint,Orrin Hatch,4.0
D000388,E000285,Christopher Dodd,Michael Enzi,2.0
G000445,S000770,Judd Gregg,Debbie Stabenow,0.0
A000121,S000320,George Allen,Richard Shelby,2.0
C000174,I000024,Thomas Carper,James Inhofe,0.0
B001135,J000072,Richard Burr,James Jeffords,0.0
I000024,S000888,James Inhofe,Ted Stevens,1.0
B000468,K000352,Jeff Bingaman,Jon Kyl,0.0
D000601,W000779,Elizabeth Dole,Ron Wyden,0.0
C000127,M001153,Maria Cantwell,Lisa Murkowski,0.0
L000504,N000180,Richard Lugar,Ben Nelson,0.0
H001028,R000307,Chuck Hagel,Pat Roberts,2.0
F000061,L000174,Russ Feingold,Patrick Leahy,0.0
A000360,D000595,Lamar Alexander,Jim DeMint,3.0
B000953,L000261,Sam Brownback,Carl Levin,0.0
B000953,M001162,Sam Brownback,Mel Martinez,3.0
D000294,E000194,Michael DeWine,John Ensign,2.0
D000294,S000888,Michael DeWine,Ted Stevens,0.0
B000243,F000062,Max Baucus,Dianne Feinstein,0.0
C001056,K000105,John Cornyn,Edward Kennedy,1.0
D000388,S000148,Christopher Dodd,Charles Schumer,1.0
D000432,H000338,Byron Dorgan,Orrin Hatch,1.0
A000121,B001126,George Allen,Conrad Burns,2.0
B000243,B000711,Max Baucus,Barbara Boxer,0.0
B001066,J000072,Jim Bunning,James Jeffords,0.0
J000177,L000123,Tim Johnson,Frank Lautenberg,0.0
C000858,R000307,Larry Craig,Pat Roberts,2.0
A000069,D000596,Daniel Akaka,Mark Dayton,0.0
A000069,A000109,Daniel Akaka,Wayne Allard,0.0
C001041,L000447,Hillary Clinton,Trent Lott,0.0
D000294,M000303,Michael DeWine,John McCain,2.0
A000121,S000064,George Allen,Paul Sarbanes,0.0
R000307,T000162,Pat Roberts,Craig Thomas,2.0
I000025,L000174,Daniel Inouye,Patrick Leahy,0.0
E000285,I000024,Michael Enzi,James Inhofe,2.0
C000567,D000388,Thad Cochran,Christopher Dodd,0.0
B001233,L000123,Evan Bayh,Frank Lautenberg,0.0
I000024,K000305,James Inhofe,Herb Kohl,0.0
B000468,L000447,Jeff Bingaman,Trent Lott,0.0
N000180,O000167,Ben Nelson,Barack Obama,0.0
R000146,S000148,Harry Reid,Charles Schumer,0.0
O000167,T000024,Barack Obama,James Talent,0.0
D000595,K000148,Jim DeMint,John Kerry,0.0
K000305,S000064,Herb Kohl,Paul Sarbanes,0.0
C001057,S001142,Norm Coleman,Gordon Smith,2.0
M001153,R000122,Lisa Murkowski,Jack Reed,0.0
G000359,N000032,Lindsey Graham,Bill Nelson,0.0
C001057,M000303,Norm Coleman,John McCain,2.0
B000382,L000504,Robert Bennett,Richard Lugar,0.0
C000127,C000286,Maria Cantwell,Saxby Chambliss,0.0
A000360,B000243,Lamar Alexander,Max Baucus,1.0
B000382,E000285,Robert Bennett,Michael Enzi,2.0
M001153,S000059,Lisa Murkowski,Richard Santorum,1.0
R000361,W000154,John Rockefeller,John Warner,0.0
A000069,G000359,Daniel Akaka,Lindsey Graham,0.0
S000148,V000127,Charles Schumer,David Vitter,1.0
A000109,H000338,Wayne Allard,Orrin Hatch,2.0
D000596,H000338,Mark Dayton,Orrin Hatch,1.0
I000024,J000072,James Inhofe,James Jeffords,0.0
B000953,D000407,Sam Brownback,Pete Domenici,2.0
D000294,L000447,Michael DeWine,Trent Lott,2.0
K000352,N000032,Jon Kyl,Bill Nelson,0.0
D000294,L000504,Michael DeWine,Richard Lugar,1.0
E000194,I000024,John Ensign,James Inhofe,2.0
E000285,S000148,Michael Enzi,Charles Schumer,0.0
B001066,R000307,Jim Bunning,Pat Roberts,2.0
C000705,M000702,Kent Conrad,Barbara Mikulski,0.0
B001233,C001056,Evan Bayh,John Cornyn,0.0
B000953,D000596,Sam Brownback,Mark Dayton,0.0
C000858,J000072,Larry Craig,James Jeffords,0.0
C001041,K000352,Hillary Clinton,Jon Kyl,0.0
B001126,S001163,Conrad Burns,Ken Salazar,1.0
I000055,S000059,Johnny Isakson,Richard Santorum,2.0
A000069,D000432,Daniel Akaka,Byron Dorgan,0.0
A000121,S000663,George Allen,Olympia Snowe,2.0
L000304,S000059,Joseph Lieberman,Richard Santorum,1.0
C000286,D000595,Saxby Chambliss,Jim DeMint,2.0
