member_a_id,member_b_id,member_a_name,member_b_name,metric
N000032,R000307,Bill Nelson,Pat Roberts,1.0
P000603,S000320,Rand Paul,Richard Shelby,1.0
C001095,S001194,Tom Cotton,Brian Schatz,0.0
B000575,R000595,Roy Blunt,Marco Rubio,4.0
L000174,S001197,Patrick Leahy,Ben Sasse,0.0
D000607,N000032,Joe Donnelly,Bill Nelson,2.0
D000618,I000055,Steve Daines,Johnny Isakson,3.0
L000577,M000702,Mike Lee,Barbara Mikulski,0.0
G000386,M000934,Charles Grassley,Jerry Moran,2.0
D000618,M001170,Steve Daines,Claire McCaskill,2.0
L000577,S000770,Mike Lee,Debbie Stabenow,0.0
B001230,M000702,Tammy Baldwin,Barbara Mikulski,0.0
C001098,F000463,Ted Cruz,Deb Fischer,1.0
H000338,J000293,Orrin Hatch,Ron Johnson,2.0
G000555,S001194,Kirsten Gillibrand,Brian Schatz,1.0
F000457,S000033,Al Franken,Bernard Sanders,1.0
G000359,H001069,Lindsey Graham,Heidi Heitkamp,3.0
C000880,T000464,Michael Crapo,Jon Tester,1.0
C000880,M001111,Michael Crapo,Patty Murray,2.0
B001277,C001075,Richard Blumenthal,Bill Cassidy,1.0
I000055,S001181,Johnny Isakson,Jeanne Shaheen,1.0
R000584,T000250,Jim Risch,John Thune,1.0
C000141,T000464,Benjamin Cardin,Jon Tester,0.0
B001267,P000612,Michael Bennet,David Perdue,1.0
W000805,W000802,Mark Warner,Sheldon Whitehouse,1.0
C000542,M000639,Daniel Coats,Robert Menendez,1.0
C001056,S001198,John Cornyn,Dan Sullivan,2.0
D000618,S001181,Steve Daines,Jeanne Shaheen,1.0
B000944,B001135,Sherrod Brown,Richard Burr,0.0
F000463,R000584,Deb Fischer,Jim Risch,2.0
B000575,M000702,Roy Blunt,Barbara Mikulski,0.0
C000567,T000250,Thad Cochran,John Thune,2.0
B000575,S000033,Roy Blunt,Bernard Sanders,1.0
B001230,C000141,Tammy Baldwin,Benjamin Cardin,0.0
C001095,S000033,Tom Cotton,Bernard Sanders,0.0
C001035,H001061,Susan Collins,John Hoeven,3.0
B001236,H001042,John Boozman,Mazie Hirono,2.0
C001098,R000584,Ted Cruz,Jim Risch,1.0
F000457,M000934,Al Franken,Jerry Moran,1.0
B000711,E000285,Barbara Boxer,Michael Enzi,1.0
M001111,W000437,Patty Murray,Roger Wicker,3.0
F000463,T000250,Deb Fischer,John Thune,2.0
S000033,T000250,Bernard Sanders,John Thune,0.0
G000386,M001183,Charles Grassley,Joe Manchin,4.0
M001111,T000250,Patty Murray,John Thune,2.0
C001047,S001141,Shelley Capito,Jeff Sessions,2.0
C001047,S001181,Shelley Capito,Jeanne Shaheen,2.0
A000368,S000033,Kelly Ayotte,Bernard Sanders,1.0
M001169,T000461,Christopher Murphy,Patrick Toomey,1.0
E000295,U000039,Joni Ernst,Tom Udall,1.0
A000360,A000368,Lamar Alexander,Kelly Ayotte,3.0
B001135,C000141,Richard Burr,Benjamin Cardin,0.0
C000127,P000449,Maria Cantwell,Rob Portman,1.0
D000563,W000779,Richard Durbin,Ron Wyden,1.0
C001047,P000612,Shelley Capito,David Perdue,3.0
A000360,B001277,Lamar Alexander,Richard Blumenthal,2.0
B001230,B001135,Tammy Baldwin,Richard Burr,1.0
M001183,P000449,Joe Manchin,Rob Portman,4.0
F000463,R000122,Deb Fischer,Jack Reed,0.0
G000359,W000817,Lindsey Graham,Elizabeth Warren,2.0
B001135,C000880,Richard Burr,Michael Crapo,2.0
B000575,D000618,Roy Blunt,Steve Daines,4.0
M000934,V000127,Jerry Moran,David Vitter,2.0
C001047,C001088,Shelley Capito,Christopher Coons,4.0
H001069,W000817,Heidi Heitkamp,Elizabeth Warren,1.0
P000612,W000802,David Perdue,Sheldon Whitehouse,2.0
B001267,W000805,Michael Bennet,Mark Warner,1.0
B001135,T000464,Richard Burr,Jon Tester,1.0
B001288,W000779,Cory Booker,Ron Wyden,0.0
B001288,D000563,Cory Booker,Richard Durbin,2.0
M000355,S001198,Mitch McConnell,Dan Sullivan,1.0
G000386,V000127,Charles Grassley,David Vitter,3.0
P000449,R000146,Rob Portman,Harry Reid,0.0
A000360,C001075,Lamar Alexander,Bill Cassidy,3.0
B001277,C000141,Richard Blumenthal,Benjamin Cardin,0.0
C000174,M001170,Thomas Carper,Claire McCaskill,1.0
L000577,P000603,Mike Lee,Rand Paul,1.0
C000174,I000055,Thomas Carper,Johnny Isakson,2.0
B001230,T000464,Tammy Baldwin,Jon Tester,1.0
B001135,G000562,Richard Burr,Cory Gardner,2.0
M001169,U000039,Christopher Murphy,Tom Udall,1.0
D000618,R000146,Steve Daines,Harry Reid,0.0
C000174,D000618,Thomas Carper,Steve Daines,2.0
C000127,R000584,Maria Cantwell,Jim Risch,0.0
S000320,S000770,Richard Shelby,Debbie Stabenow,0.0
M001170,P000612,Claire McCaskill,David Perdue,2.0
M001183,S001181,Joe Manchin,Jeanne Shaheen,2.0
F000062,K000367,Dianne Feinstein,Amy Klobuchar,5.0
H001041,R000595,Dean Heller,Marco Rubio,1.0
D000563,L000575,Richard Durbin,James Lankford,1.0
B000711,H001061,Barbara Boxer,John Hoeven,1.0
C000567,W000805,Thad Cochran,Mark Warner,2.0
C000141,C001075,Benjamin Cardin,Bill Cassidy,0.0
H001069,R000595,Heidi Heitkamp,Marco Rubio,3.0
H001046,M000133,Martin Heinrich,Edward Markey,0.0
H001042,N000032,Mazie Hirono,Bill Nelson,2.0
C000174,S001181,Thomas Carper,Jeanne Shaheen,1.0
B000711,C001035,Barbara Boxer,Susan Collins,2.0
C001075,C000880,Bill Cassidy,Michael Crapo,2.0
C000127,H001069,Maria Cantwell,Heidi Heitkamp,1.0
J000293,R000146,Ron Johnson,Harry Reid,0.0
B001230,C001075,Tammy Baldwin,Bill Cassidy,1.0
K000384,T000250,Tim Kaine,John Thune,0.0
M001111,U000039,Patty Murray,Tom Udall,4.0
F000062,L000174,Dianne Feinstein,Patrick Leahy,3.0
C000880,C001098,Michael Crapo,Ted Cruz,1.0
F000444,W000779,Jeff Flake,Ron Wyden,0.0
I000024,P000612,James Inhofe,David Perdue,3.0
B001230,B001277,Tammy Baldwin,Richard Blumenthal,2.0
A000360,B001135,Lamar Alexander,Richard Burr,2.0
G000386,M000303,Charles Grassley,John McCain,3.0
C000567,W000802,Thad Cochran,Sheldon Whitehouse,1.0
F000444,K000360,Jeff Flake,Mark Kirk,2.0
F000062,P000595,Dianne Feinstein,Gary Peters,2.0
D000563,F000444,Richard Durbin,Jeff Flake,1.0
C001088,S000148,Christopher Coons,Charles Schumer,4.0
C001047,S001184,Shelley Capito,Tim Scott,2.0
H000338,P000449,Orrin Hatch,Rob Portman,4.0
T000464,W000805,Jon Tester,Mark Warner,2.0
M000303,V000127,John McCain,David Vitter,3.0
B001288,F000444,Cory Booker,Jeff Flake,1.0
F000463,M000639,Deb Fischer,Robert Menendez,0.0
B001135,C001075,Richard Burr,Bill Cassidy,2.0
B001236,W000437,John Boozman,Roger Wicker,3.0
C000567,P000612,Thad Cochran,David Perdue,2.0
D000563,H000338,Richard Durbin,Orrin Hatch,4.0
M000639,T000250,Robert Menendez,John Thune,0.0
B001261,B000575,John Barrasso,Roy Blunt,1.0
C001098,M000639,Ted Cruz,Robert Menendez,0.0
A000360,B001230,Lamar Alexander,Tammy Baldwin,2.0
C001071,S001198,Bob Corker,Dan Sullivan,1.0
B001277,B001135,Richard Blumenthal,Richard Burr,1.0
T000461,U000039,Patrick Toomey,Tom Udall,3.0
A000360,C000880,Lamar Alexander,Michael Crapo,2.0
M000133,S001184,Edward Markey,Tim Scott,0.0
E000295,M001169,Joni Ernst,Christopher Murphy,1.0
C001070,K000384,Bob Casey,Tim Kaine,1.0
M001169,M001111,Christopher Murphy,Patty Murray,1.0
A000360,C000141,Lamar Alexander,Benjamin Cardin,0.0
C000542,F000463,Daniel Coats,Deb Fischer,3.0
C001035,E000285,Susan Collins,Michael Enzi,2.0
B000944,R000605,Sherrod Brown,Mike Rounds,0.0
C000542,T000250,Daniel Coats,John Thune,2.0
M000639,R000584,Robert Menendez,Jim Risch,0.0
M000303,R000146,John McCain,Harry Reid,0.0
K000367,P000595,Amy Klobuchar,Gary Peters,2.0
K000383,R000307,Angus King,Pat Roberts,1.0
E000295,M001111,Joni Ernst,Patty Murray,1.0
C001047,M000133,Shelley Capito,Edward Markey,1.0
C001070,G000386,Bob Casey,Charles Grassley,3.0
S000148,T000476,Charles Schumer,Thom Tillis,1.0
C000141,N000032,Benjamin Cardin,Bill Nelson,0.0
G000386,H001046,Charles Grassley,Martin Heinrich,1.0
H001041,M000934,Dean Heller,Jerry Moran,2.0
G000359,R000584,Lindsey Graham,Jim Risch,2.0
B001277,T000464,Richard Blumenthal,Jon Tester,1.0
R000146,R000605,Harry Reid,Mike Rounds,0.0
M000355,P000595,Mitch McConnell,Gary Peters,0.0
C000127,W000802,Maria Cantwell,Sheldon Whitehouse,1.0
